TSI NanoScan SMPS Model 3910
Mode,Single
Serial Number,3910131505
Last Calibrated,2016/01/11


File Index,1
Sample #,1
Date,2022/11/29
Time,16:13:14
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),20,

Time Elapsed (s),Number (#/cm3),Status
Particle Density (g/cm3),1.0300
Diameter Setting (nm),60,

Time Elapsed (s),Number (#/cm3),Status
1,1571.2800,No errors
2,1544.8800,No errors
3,1551.6000,No errors
4,1585.6801,No errors
5,1590.7200,No errors
6,1554.7200,No errors
7,1586.6400,No errors
8,1618.8000,No errors
9,1554.7200,No errors
10,1558.5601,No errors
11,1574.8800,No errors
12,1563.8400,No errors
13,1608.4800,No errors
14,1569.3600,No errors
15,1571.2800,No errors
16,1559.5200,No errors
17,1574.6400,No errors
18,1612.3199,No errors
19,1564.5601,No errors
20,1576.8000,No errors
21,1591.2000,No errors
22,1603.2000,No errors
23,1614.7200,No errors
24,1620.9600,No errors
25,1585.9200,No errors
26,1605.3600,No errors
27,1588.8000,No errors
28,1614.7200,No errors
29,1650.9600,No errors
30,1583.0400,No errors
31,1600.3199,No errors
32,1612.3199,No errors
33,1644.9600,No errors
34,1615.4399,No errors
35,1577.7600,No errors
36,1584.9600,No errors
37,1604.4000,No errors
38,1594.8000,No errors
39,1605.3600,No errors
40,1590.2400,No errors
41,1617.6000,No errors
42,1589.7600,No errors
43,1613.0400,No errors
44,1623.3600,No errors
45,1627.6801,No errors
46,1601.0400,No errors
47,1583.5200,No errors
48,1566.0000,No errors
49,1623.8400,No errors
50,1593.1200,No errors
51,1617.8400,No errors
52,1575.6000,No errors
53,1608.9600,No errors
54,1582.8000,No errors
55,1564.8000,No errors
56,1596.4800,No errors
57,1558.5601,No errors
58,1597.2000,No errors
59,1583.5200,No errors
60,1622.6400,No errors


File Index,1
Sample #,6
Date,2022/11/29
Time,16:21:10
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),60,

Time Elapsed (s),Number (#/cm3),Status
1,783.1200,No errors
2,767.0400,No errors
3,767.0400,No errors
4,766.8000,No errors
5,775.9200,No errors
6,740.1600,No errors
7,758.4000,No errors
8,760.3200,No errors
9,744.7200,No errors
10,766.5600,No errors
11,748.5600,No errors
12,728.6400,No errors
13,760.3200,No errors
14,740.6400,No errors
15,756.4800,No errors
16,770.6400,No errors
17,769.4400,No errors
18,752.8800,No errors
19,760.5600,No errors
20,744.0000,No errors
21,767.7600,No errors
22,739.2000,No errors
23,750.4800,No errors
24,746.8800,No errors
25,750.2400,No errors
26,756.0000,No errors
27,758.1600,No errors
28,764.6400,No errors
29,749.2800,No errors
30,752.1600,No errors
31,766.3200,No errors
32,765.8400,No errors
33,745.6800,No errors
34,769.6800,No errors
35,745.6800,No errors
36,765.1200,No errors
37,744.2400,No errors
38,745.4400,No errors
39,763.4400,No errors
40,766.0800,No errors
41,762.0000,No errors
42,764.6400,No errors
43,750.4800,No errors
44,758.8800,No errors
45,749.7600,No errors
46,756.2400,No errors
47,741.8400,No errors
48,732.2400,No errors
49,737.2800,No errors
50,739.9200,No errors
51,755.0400,No errors
52,735.6000,No errors
53,770.6400,No errors
54,738.9600,No errors
55,762.2400,No errors
56,766.3200,No errors
57,749.5200,No errors
58,742.0800,No errors
59,741.1200,No errors
60,758.1600,No errors


File Index,1
Sample #,7
Date,2022/11/29
Time,16:22:56
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),80,

Time Elapsed (s),Number (#/cm3),Status
1,482.4000,No errors
2,484.0800,No errors
3,512.1600,No errors
4,473.2800,No errors
5,467.5200,No errors
6,460.5600,No errors
7,486.2400,No errors
8,488.6400,No errors
9,499.2000,No errors
10,494.4000,No errors
11,482.8800,No errors
12,480.4800,No errors
13,476.1600,No errors
14,470.6400,No errors
15,486.9600,No errors
16,500.8800,No errors
17,504.7200,No errors
18,493.4400,No errors
19,489.1200,No errors
20,494.4000,No errors
21,491.2800,No errors
22,491.7600,No errors
23,498.0000,No errors
24,482.1600,No errors
25,477.3600,No errors
26,486.0000,No errors
27,488.4000,No errors
28,474.9600,No errors
29,488.8800,No errors
30,502.0800,No errors
31,470.6400,No errors
32,475.2000,No errors
33,482.1600,No errors
34,490.5600,No errors
35,485.7600,No errors
36,498.0000,No errors
37,463.2000,No errors
38,486.2400,No errors
39,486.9600,No errors
40,493.4400,No errors
41,486.7200,No errors
42,503.0400,No errors
43,497.7600,No errors
44,508.3200,No errors
45,485.5200,No errors
46,472.5600,No errors
47,488.8800,No errors
48,482.1600,No errors
49,486.7200,No errors
50,484.8000,No errors
51,474.7200,No errors
52,492.9600,No errors
53,481.2000,No errors
54,477.6000,No errors
55,478.0800,No errors
56,495.6000,No errors
57,487.4400,No errors
58,479.7600,No errors
59,482.8800,No errors
60,462.9600,No errors


File Index,1
Sample #,8
