TSI NanoScan SMPS Model 3910
Mode,Single
Serial Number,3910131505
Last Calibrated,2016/01/11


File Index,1
Sample #,1
Date,2022/11/29
Time,16:13:14
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),20,

Time Elapsed (s),Number (#/cm3),Status
22,2.4000,No errors
23,1.2000,No errors
24,1.6800,No errors
25,1.2000,No errors
26,0.7200,No errors
27,1.6800,No errors
28,0.7200,No errors
29,0.2400,No errors
30,0.2400,No errors
31,0.9600,No errors
32,0.7200,No errors
33,0.9600,No errors
34,0.9600,No errors
35,0.7200,No errors
36,0.9600,No errors
37,0.9600,No errors
38,0.4800,No errors
39,0.4800,No errors
40,0.7200,No errors
41,0.2400,No errors
42,0.7200,No errors
43,1.2000,No errors
44,0.7200,No errors
45,0.9600,No errors
46,1.9200,No errors
47,1.4400,No errors
48,1.4400,No errors
49,1.2000,No errors
50,0.9600,No errors
51,1.6800,No errors
52,0.7200,No errors
53,0.4800,No errors
54,1.4400,No errors
55,0.7200,No errors
56,0.7200,No errors
57,2.1600,No errors
58,0.7200,No errors
59,1.2000,No errors
60,0.9600,No errors


File Index,1
Sample #,19
Date,2022/11/29
Time,16:47:44
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),200,

Time Elapsed (s),Number (#/cm3),Status
1,0.7200,No errors
2,1.6800,No errors
3,1.2000,No errors
4,1.4400,No errors
5,1.6800,No errors
6,1.2000,No errors
7,1.2000,No errors
8,0.9600,No errors
9,1.6800,No errors
10,1.6800,No errors
11,0.2400,No errors
12,1.4400,No errors
13,1.2000,No errors
14,1.9200,No errors
15,1.2000,No errors
16,0.7200,No errors
17,1.2000,No errors
18,2.4000,No errors
19,0.7200,No errors
20,1.4400,No errors
21,1.2000,No errors
22,1.2000,No errors
23,2.6400,No errors
24,1.6800,No errors
25,1.4400,No errors
26,1.4400,No errors
27,1.2000,No errors
28,0.9600,No errors
29,1.2000,No errors
30,2.4000,No errors
31,1.6800,No errors
32,1.2000,No errors
33,1.4400,No errors
34,0.2400,No errors
35,1.2000,No errors
36,1.2000,No errors
37,1.2000,No errors
38,0.7200,No errors
39,2.1600,No errors
40,0.0000,No errors
41,1.9200,No errors
42,1.2000,No errors
43,1.2000,No errors
44,1.2000,No errors
45,0.9600,No errors
46,2.1600,No errors
47,1.6800,No errors
48,2.4000,No errors
49,0.7200,No errors
50,0.7200,No errors
51,0.4800,No errors
52,1.2000,No errors
53,0.4800,No errors
54,1.2000,No errors
55,1.4400,No errors
56,0.4800,No errors
57,0.9600,No errors
58,1.2000,No errors
59,0.7200,No errors
60,3.1200,No errors


File Index,1
Sample #,20
Date,2022/11/29
Time,16:49:06
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),200,

Time Elapsed (s),Number (#/cm3),Status
1,0.7200,No errors
2,0.2400,No errors
3,0.7200,No errors
4,0.2400,No errors
5,0.9600,No errors
6,0.7200,No errors
7,0.9600,No errors
8,0.4800,No errors
9,1.2000,No errors
10,0.9600,No errors
11,1.2000,No errors
12,0.4800,No errors
13,0.9600,No errors
14,1.4400,No errors
15,0.4800,No errors
16,0.7200,No errors
17,0.7200,No errors
18,0.2400,No errors
19,0.9600,No errors
20,0.2400,No errors
21,0.2400,No errors
22,0.4800,No errors
23,0.9600,No errors
24,0.7200,No errors
25,1.2000,No errors
26,0.7200,No errors
27,0.0000,No errors
28,0.4800,No errors
29,0.2400,No errors
30,0.7200,No errors
31,0.0000,No errors
32,0.4800,No errors
33,0.4800,No errors
34,0.2400,No errors
35,0.7200,No errors
36,0.7200,No errors
37,0.7200,No errors
38,0.2400,No errors
39,0.4800,No errors
40,0.7200,No errors
41,0.2400,No errors
42,0.0000,No errors
43,0.4800,No errors
44,0.2400,No errors
45,0.4800,No errors
46,0.2400,No errors
47,1.2000,No errors
48,0.4800,No errors
49,0.9600,No errors
50,0.2400,No errors
51,0.2400,No errors
52,0.9600,No errors
53,0.9600,No errors
54,1.6800,No errors
55,0.7200,No errors
56,0.4800,No errors
57,0.4800,No errors
58,0.2400,No errors
59,0.4800,No errors
60,0.9600,No errors


